"IMG_6342.JPG";"100";"22.0";"1/160";"0.406";"0.406";"0.406";"100.00%"
"IMG_6343.JPG";"100";"22.0";"1/160";"0.406";"0.405";"0.406";"100.00%"
"IMG_6344.JPG";"100";"22.0";"1/160";"0.406";"0.404";"0.405";"99.75%"
"IMG_6345.JPG";"100";"22.0";"1/160";"0.406";"0.404";"0.405";"99.75%"
"IMG_6346.JPG";"100";"22.0";"1/160";"0.406";"0.403";"0.404";"99.51%"
"IMG_6347.JPG";"100";"22.0";"1/160";"0.406";"0.399";"0.403";"99.26%"
"IMG_6348.JPG";"100";"22.0";"1/160";"0.406";"0.394";"0.401";"98.77%"
"IMG_6349.JPG";"100";"22.0";"1/160";"0.406";"0.390";"0.398";"98.03%"
"IMG_6350.JPG";"100";"22.0";"1/160";"0.406";"0.382";"0.394";"97.04%"
"IMG_6351.JPG";"100";"22.0";"1/160";"0.406";"0.375";"0.388";"95.57%"
"IMG_6352.JPG";"100";"22.0";"1/160";"0.406";"0.371";"0.382";"94.09%"
"IMG_6353.JPG";"100";"22.0";"1/160";"0.406";"0.376";"0.379";"93.35%"
"IMG_6354.JPG";"100";"22.0";"1/160";"0.406";"0.383";"0.377";"92.86%"
"IMG_6355.JPG";"100";"22.0";"1/160";"0.406";"0.382";"0.377";"92.86%"
"IMG_6356.JPG";"100";"22.0";"1/160";"0.406";"0.376";"0.378";"93.10%"
"IMG_6357.JPG";"100";"22.0";"1/160";"0.406";"0.365";"0.376";"92.61%"
"IMG_6358.JPG";"100";"22.0";"1/160";"0.406";"0.360";"0.373";"91.87%"
"IMG_6359.JPG";"100";"22.0";"1/160";"0.406";"0.359";"0.368";"90.64%"
"IMG_6360.JPG";"100";"22.0";"1/160";"0.406";"0.362";"0.364";"89.66%"
"IMG_6361.JPG";"100";"22.0";"1/160";"0.406";"0.367";"0.363";"89.41%"
"IMG_6362.JPG";"100";"22.0";"1/160";"0.406";"0.375";"0.365";"89.90%"
"IMG_6363.JPG";"100";"22.0";"1/160";"0.406";"0.381";"0.369";"90.89%"
"IMG_6364.JPG";"100";"22.0";"1/160";"0.406";"0.389";"0.375";"92.36%"
"IMG_6365.JPG";"100";"22.0";"1/160";"0.406";"0.395";"0.381";"93.84%"
"IMG_6366.JPG";"100";"22.0";"1/160";"0.406";"0.398";"0.388";"95.57%"
"IMG_6367.JPG";"100";"22.0";"1/160";"0.406";"0.398";"0.392";"96.55%"
"IMG_6368.JPG";"100";"22.0";"1/160";"0.406";"0.395";"0.395";"97.29%"
"IMG_6369.JPG";"100";"22.0";"1/160";"0.406";"0.390";"0.395";"97.29%"
"IMG_6370.JPG";"100";"22.0";"1/160";"0.406";"0.386";"0.393";"96.80%"
"IMG_6371.JPG";"100";"22.0";"1/160";"0.406";"0.383";"0.390";"96.06%"
